"Random_sequence_generation","Allocation_concealment","Blinding_of_participants_and_personnel","Blinding_of_outcome_assessment","Blinding_of_participant_personnel_outcome","Incomplete_outcome_data","Selective_outcome_reporting","Other_bias","Review","Study"
"Unclear risk","Low risk","Unclear risk",NA,NA,"Unclear risk",NA,"Unclear risk","CD000219","Mygind 1981"
"Low risk","Unclear risk","High risk",NA,NA,"Unclear risk",NA,"Unclear risk","CD000219","Neumark 2007"
"Unclear risk","Unclear risk","High risk",NA,NA,"Low risk",NA,"Unclear risk","CD000219","Shahbaznejad 2021"
"Low risk","Low risk","Unclear risk",NA,NA,"Unclear risk",NA,"Low risk","CD000219","Spiro 2006"
"Low risk","Low risk","Low risk",NA,NA,"Low risk",NA,"Low risk","CD000219","Tähtinen 2011"
"Low risk","Low risk","Low risk",NA,NA,"Low risk",NA,"Low risk","CD000219","Tapiainen 2014"
"Unclear risk","Low risk","Low risk",NA,NA,"Low risk",NA,"Unclear risk","CD000219","Thalin 1985"
"Unclear risk","Low risk","Low risk",NA,NA,"Unclear risk",NA,"Unclear risk","CD000219","van Buchem 1981"
"Unclear risk","Unclear risk","Low risk","Low risk",NA,"Unclear risk","Unclear risk",NA,"CD000254","AMDSG 1996"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk",NA,"CD000254","AREDS 2001"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk",NA,"CD000254","AREDS2 2013"
"Unclear risk","Low risk","Low risk","Low risk",NA,"Unclear risk","High risk",NA,"CD000254","Azar 2017"
"Low risk","Low risk","Low risk","Unclear risk",NA,"Unclear risk","High risk",NA,"CD000254","Bartlett 2007"
"Low risk","Unclear risk","High risk","Unclear risk",NA,"Unclear risk","High risk",NA,"CD000254","Berrow 2013"
"Low risk","Low risk","Low risk","Low risk",NA,"Unclear risk","Low risk",NA,"CD000254","CARMA 2013"
"Low risk","Unclear risk","High risk","High risk",NA,"High risk","Unclear risk",NA,"CD000254","CARMIS 2011"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Low risk",NA,"CD000254","CLEAR 2013"
"Unclear risk","Unclear risk","Unclear risk","Unclear risk",NA,"Unclear risk","Unclear risk",NA,"CD000254","France 1998"
"Low risk","Low risk","Low risk","Low risk",NA,"Unclear risk","Unclear risk",NA,"CD000254","Garcia-Layana 2021"
"Unclear risk","Unclear risk","Unclear risk","Unclear risk",NA,"Unclear risk","High risk",NA,"CD000254","Holz 1993"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Unclear risk",NA,"CD000254","Kaiser 1995"
"Unclear risk","Low risk","Low risk","Low risk",NA,"High risk","Unclear risk",NA,"CD000254","LAST 2004"
"Unclear risk","Unclear risk","Low risk","Unclear risk",NA,"Low risk","Unclear risk",NA,"CD000254","Li 2017"
"Unclear risk","Unclear risk","High risk","High risk",NA,"Unclear risk","Unclear risk",NA,"CD000254","Li 2018"
"Unclear risk","Unclear risk","Unclear risk","Unclear risk",NA,"Unclear risk","Unclear risk",NA,"CD000254","LISA 2011"
"Unclear risk","Low risk","Low risk","Low risk",NA,"Low risk","Unclear risk",NA,"CD000254","LUTEGA 2013"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","High risk",NA,"CD000254","Ma 2012"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","High risk",NA,"CD000254","Newsome 1988"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","Unclear risk",NA,"CD000254","Newsome 2008"
"Low risk","Unclear risk","Low risk","Low risk",NA,"Low risk","High risk",NA,"CD000254","Parravano 2019"
"Unclear risk","Unclear risk","Low risk","Low risk",NA,"Unclear risk","Unclear risk",NA,"CD000254","Piatti 2020"
"Low risk","Low risk","Low risk","Low risk",NA,"High risk","Unclear risk",NA,"CD000254","Stur 1996"
"Low risk","Low risk","Low risk","Low risk",NA,"Low risk","High risk",NA,"CD000254","VECAT 2002"
"Unclear risk","Unclear risk","Unclear risk","Unclear risk",NA,"Unclear risk","Unclear risk",NA,"CD000254","Wang 2004"
"Low risk","Low risk","Unclear risk","Unclear risk",NA,"Low risk","Low risk","Low risk","CD001233","Aduloju 2016"
"Low risk","Low risk","Unclear risk","Unclear risk",NA,"High risk","High risk","Low risk","CD001233","Ahmed 2016"
"Low risk","Low risk","Unclear risk","Unclear risk",NA,"Low risk","Low risk","Low risk","CD001233","Al-Ibraheemi 2018"
"Unclear risk","Unclear risk","Unclear risk","Unclear risk",NA,"Unclear risk","Unclear risk","Low risk","CD001233","Allouche 1993"
"Low risk","Unclear risk","Unclear risk","Unclear risk",NA,"Low risk","Low risk","Low risk","CD001233","Al-Taani 2004"
